# ANPP and precipitation event data for each year, extracted from Lauenroth and Sala (1992).
Year NPP YearID Event1 Event2 Event3 Event4
1939 50 40 NA NA NA NA
1940 NA 41 74 76 106 83
1941 74 42 NA NA NA NA
1942 123 43 NA NA NA NA
1943 123 44 80 159 137 115
1944 75 45 48 64 55 38
1945 66 46 56 133 98 0
1946 67 47 42 148 106 0
1947 96 48 67 117 84 70
1948 50 49 100 93 0 0
1949 82 50 95 169 76 0
1950 54 51 77 163 0 59
1951 70 52 80 126 89 35
1952 95 53 61 130 162 0
1953 73 54 56 88 103 54
1954 22 55 62 45 15 0
1955 32 56 89 74 133 31
1956 50 57 40 117 15 72
1957 64 58 85 182 77 71
1958 77 59 97 155 79 0
1959 83 60 68 146 56 37
1960 57 61 66 109 0 0
1961 76 62 81 152 136 36
1962 81 63 59 134 165 41
1963 80 64 59 86 155 38
1964 25 65 43 65 0 0
1965 48 66 51 193 83 44
1966 49 67 52 120 36 85
1967 90 68 70 174 177 167
1968 77 69 61 161 76 36
1969 86 70 NA NA NA NA
1970 72 71 70 101 71 0
1971 73 72 56 92 114 0
1972 24 73 72 181 55 67
1973 68 74 68 120 53 34
1974 22 75 43 91 64 70
1975 63 76 75 73 142 34
1976 44 77 83 135 42 0
1977 27 78 57 108 83 0
1978 37 79 78 46 126 42
1979 88 80 90 184 184 36
1980 NA 81 62 138 116 45
1981 128 82 77 122 162 36
1982 117 83 74 106 139 155
1983 91 84 61 127 167 73
1984 103 85 85 152 100 70
1985 84 86 119 128 74 0
1986 55 87 108 157 0 0
1987 63 88 107 167 57 0
1988 57 89 76 80 92 86
1989 55 90 72 109 75 44
1990 58 91 96 158 104 0
