Year ppt1 ppt2 ppt3 ppt4 ppt5 ppt6 ppt7 ppt8 ppt9 ppt10 ppt11 ppt12
1900 0.25 1.12 1.07 10.56 1.75 0.82 1.14 0.16 1.92 0.15 0.07 0.11
1901 0.19 0.38 1.88 3.62 7.47 2.35 0.71 0.72 2.1 0.36 0.02 1.37
1902 0.32 0.15 1.5 0.61 2.13 2.43 1.31 0.67 7.12 1.15 0.27 0.77
1903 0.16 1.6 1.03 1.5 0.63 2.23 1.06 0.82 0.87 1.7 0.18 0.07
1904 0.04 0.34 0.51 0.89 5.37 1.68 1.99 0.71 1.09 0.39 0 0.12
1905 0.29 0.35 1.75 6.32 4.13 0.64 2.18 1.25 0.28 2.6 0.07 0
1906 0.01 0.03 2.44 4.3 2.39 1.8 1.96 0.8 3.08 1.59 1.35 0.12
1907 0.23 0.36 0.58 2.98 2.44 0.44 2.28 1.27 0.58 0.08 0.44 0.03
1908 0.11 0.01 0.28 0.05 5.83 1.15 3.66 2.12 0.54 1.78 1.06 0.6
1909 0.02 0.91 3.35 1.34 1.06 2.59 1.98 1.45 2.09 0.08 0.79 0.58
1910 0.29 0.16 0.06 0.42 4.75 1.04 0.87 1.92 1.79 1.03 0.11 0.48
1911 0.34 1.52 0.05 1.89 0.72 1.78 1.47 0.59 0.8 0.93 0.43 0.37
1912 0.37 1.65 1.79 0.9 2.84 2.43 2.93 1.26 2.66 2.03 0.59 0.21
1913 0.3 0.94 0.19 1.49 2.04 0.15 2.63 0.41 2.18 0.98 0.17 4.08
1914 0.35 0.3 0.87 3.23 2.76 1.97 1.68 1.27 0.02 1.58 0.12 0.15
1915 0.12 1.41 1.73 3.91 3.78 1.9 2.12 1.56 2.97 1.97 0.1 0.82
1916 0.84 0.11 0.31 0.86 3.85 0.6 0.65 0.71 0.7 2.92 0.98 0.62
1917 0.4 1.04 0.99 1.22 5.79 0.03 1.19 1.21 0.45 0.62 0.4 0.31
1918 0.41 1.05 0.12 3.68 2.95 1.18 4.83 1.91 3.23 0.71 0.9 0.76
1919 0 0.3 1.65 0.92 0.45 0.19 0.64 0.61 2.61 1.9 1.22 0.39
1920 0.54 0.64 0.14 3.6 1.95 0.4 0.58 1.72 0.6 0.5 0.24 0.54
1921 0.96 0.19 0.13 1.63 1.97 3.66 1.36 2.43 0.68 0.37 0.32 0.89
1922 0.35 0.53 0.36 2.8 0.87 1.03 0.8 0.74 0.02 0.74 1.44 0.31
1923 0.19 1.39 2.74 2.18 4.46 6.23 4.5 0.62 1.36 3.55 0.1 0.25
1924 0.51 0.54 1.83 0.93 3.9 0.22 0.21 0.05 0.84 0.78 0.09 0.74
1925 0.27 0.09 0.58 0.1 1.18 1.5 1.85 1.32 1.96 3.26 0.89 1.5
1926 0.25 0.28 1.54 2.99 1.76 1.58 0.93 0.86 1.03 1.15 0.36 0.83
1927 0.04 0.4 1.87 2.69 0.91 2.17 2.19 2.1 1.1 0.92 1 0.25
1928 0.26 0.5 1.38 0.97 3.35 2.73 0.83 0.69 0.09 1.5 1.15 0.06
1929 0.21 0.7 1.78 2.37 1.08 0.61 0.46 2.35 2.13 0.99 0.93 0.09
1930 0.45 0.07 0.7 0.56 4.08 1.5 0.95 5.46 0.16 0.36 0.7 0.14
1931 0 1.26 0.41 1.07 2.55 1.5 0.07 0.81 0.4 1 0.63 0.18
1932 0.08 0.48 1.09 0.88 2.14 1.11 2.13 3.68 0.01 0.34 0.34 0.49
1933 0.16 0.13 0.6 1.86 4.56 0.05 0.71 4.34 2.1 0 0.06 1.03
1934 0.01 1.11 0.7 1.41 1.45 1.25 1.33 0.28 0.79 0 0.06 0
1935 0.07 0.89 0.21 1.24 6.71 0.62 1.14 0.5 3.29 0.61 0.66 0
1936 0.04 0.39 0.71 1.17 1.1 2.9 0.95 1.46 1.11 1.38 0.18 0.38
1937 0.36 0.53 1.14 2.23 1.48 1.94 1.18 0.63 0.09 0.71 0.56 1.52
1938 0.42 0.27 1.32 2.47 2.7 1.81 0.93 0.47 7.34 0.72 0.54 0.76
1939 0.41 0.6 1.6 1.42 1.56 0.43 0 1.01 0.15 0.4 0.03 0.24
1940 1.29 0.54 0.63 1.39 1.83 0.24 1.07 0.32 5.33 0.46 0.59 0.15
1941 0.58 0.04 1.16 3.49 2.01 1.87 0.9 4.19 1.28 1.33 0.18 0.68
1942 0.32 0.88 0.2 4.5 2.26 2.37 0.34 1.48 0.75 6.7 0.5 0
1943 0.22 0.48 0.71 1.45 5.95 1.06 0.93 0.56 0.1 0.29 0.33 0.18
1944 0.45 0.35 2.01 4.1 1.98 1.23 2.25 0.09 0.19 0.14 0.13 0.21
1945 0.73 0.34 0.42 3.02 1.88 2.83 0.44 3.55 1.31 0.8 0.15 0.26
1946 0.13 0.1 0.78 0.43 2.8 1.32 2.93 1.68 0.78 1.23 1.98 0.07
1947 0.42 0.89 0.95 1.41 3.62 4.48 0.8 0.55 0.5 2.64 0.88 0.81
1948 1.01 0.7 0.68 0.67 2.16 1.88 0.36 0.75 0.2 0.72 0.38 0.94
1949 0.35 0.11 1.96 1.53 2.94 6.31 3.13 0.74 0.42 1.24 0 0.06
1950 0.36 0.17 0.36 2 3.91 1.33 1.38 0.6 1.7 0.31 0.5 0.08
1951 0.73 0.7 0.35 1.11 2.59 2.11 1.97 7.39 0.96 2.73 0.66 0.94
1952 0.07 0.08 1.57 1.89 3.71 2.46 0.72 0.97 0.04 0.2 1.03 0
1953 0.19 0.49 1.05 1.87 1.88 2.79 1.23 0.65 0.48 0.12 0.45 0.22
1954 0.11 0.06 0.9 0.35 1.14 0.89 0.95 1.24 0.99 0.35 0.53 0.47
1955 0.36 0.63 1.15 0.22 1.64 2.58 1.23 1.42 1.91 0.19 1.05 0.59
1956 0.7 0.66 0.71 1.67 2.62 0.31 2.23 1.91 0.03 0.05 0.79 0.51
1957 0.7 0.52 0.42 3.94 6.04 1.02 0.43 3.07 0.81 1.99 0.62 0
1958 0.17 0.4 1.87 1.95 5.3 2.3 1.58 1.01 0.46 0.85 0.57 0.98
1959 0.46 0.58 1.36 2.71 3.54 0.39 0.31 0.6 1.97 2.71 0.04 0
1960 0.37 0.53 0.84 0.88 2.5 0.72 0.8 0.03 0.39 2.11 0.28 0.56
1961 0.21 0.64 3.38 1 7.06 1.83 4.27 4 4 1.17 0.62 0.08
1962 1.17 0.7 0.55 1 2.36 2.13 2.07 0.31 0.41 1.75 0.57 0.18
1963 0.67 0.42 1.28 0.5 0.42 3.75 0.13 1.69 2.1 0.3 0.19 0.55
1964 0.31 0.21 0.92 1.69 1.87 0.54 1.04 0.45 0.34 0.06 0.46 0.18
1965 0.66 0.31 0.84 1.19 1.89 5.27 2.29 0.44 2.33 0.51 0 0.44
1966 0.12 0.6 0.01 1.39 0.27 1.6 0.62 0.63 1.16 0.43 0.45 0.06
1967 0.61 0.35 0.61 3.02 4.79 3.26 3.1 1.82 0.93 0.61 1.14 1.05
1968 0.09 0.6 0.9 1.85 3.2 0.86 2.05 2.11 0.09 0.65 0.78 0.13
1969 0.59 0.33 0.59 1.46 3.8 2.56 0.84 1.72 0.63 4.85 0.32 0.02
1970 0.06 0.02 2.65 1.04 0.2 2.44 2.65 0.97 1.61 1.25 0.54 0.16
1971 0.59 0.5 0.51 4.42 2.33 0.2 0.52 0.19 3.55 0.94 0.02 0.21
1972 0.54 0.06 0.43 1.38 0.55 1.4 0.72 2.24 0.51 0.57 0.91 0.6
1973 0.26 0.02 0.79 1.42 1.63 0.34 2.56 0.18 1.7 0.43 2.29 1.17
1974 0.33 0.06 1.05 1.65 0.01 3.01 1.65 0.12 1.08 2.01 0.59 0.06
1975 0.05 0.54 1.57 1.53 4.53 1.77 0.92 2.86 0.39 0.9 0.7 1.31
1976 0.3 0.57 0.64 1.64 1.13 0.95 1.03 1.88 1.94 0.25 0.08 0.15
1977 0.04 0.05 0.13 2.69 1.1 0.32 5.86 1.2 0.14 0.14 0.35 0.11
1978 0.6 0.26 0.44 1.29 6.15 1.39 1.02 0.79 0.12 1.94 0.07 0.8
1979 0.36 0.29 2.33 1.38 5.08 3.13 0.95 3.13 1.03 0.87 2 1.52
1980 1.14 0.89 2.23 2.91 3.53 0.08 1.15 0.62 0.7 0.65 0.54 0.13
1981 0.51 0.06 1.59 1.12 4.21 0.37 1.98 1.5 1.22 0.75 0.1 0.65
1982 0.25 0.05 0.64 0.38 4.98 4.28 4.86 0.45 3.51 0.74 0.48 0.41
1983 0.01 0.04 2.89 4.1 3.21 3.52 1.57 1.02 0.28 0.17 2.13 0.51
1984 0.56 0.39 1.46 3.4 1.84 2.23 1.96 0.57 0.8 2.53 0.02 0.27
1985 0.8 0.25 0.35 2.11 0.97 2.77 3.71 0.24 1.37 1.17 1.38 1.25
1986 0.16 0.26 1.04 2.03 1.45 1.18 0.95 1.21 0.74 1.58 1.53 0.27
1987 0.38 1.28 2.16 0.66 3.15 2.06 0.8 0.76 0.65 0.51 1.61 0.78
1988 0.28 0.51 2.72 1.02 2.66 1.49 1.15 2 1.95 0.13 0.18 1.3
1989 0.53 0.74 0.22 1.37 2.51 1.74 0.93 1.16 2.33 0.73 0.23 0.36
1990 0.59 0.57 5.63 0.98 2.83 0.54 1.39 1.69 1.36 0.57 0.87 0.25
