"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
510,1.03216427283866,1.02964821856492,0.994036681795272,1.02286344745421,0.998588050435466,1.04472137534233,0.996300731840789,1.10304584728063,0.994957426207344,1.0113796186246,1.00020414523875,1.01304205843222,1.00608728144904,0.999678196844751,1.00210399762937,1.00430621501436,0.999578054140223,0.992389013059108,0.992333413002871,0.989963862364164,0.998037590088719,1.01406914943314,1.00902551079062,0.995915979669398,1.01419300759416,0.995297033741962,0.994978869157116,0.993748708530698,0.992104215385256,0.986664261737181,1.00399417466013,1.0144597572629,1.02059336778894,0.9873947774142,0.996598543488489,0.996137162279926,1.01116639266999,0.99591108215282,1.0050524338507,0.996747428195595,1.00963426491613,0.993263276158323,0.992302076315991,1.00059548288127,1.01945144867643,0.989333958792728,1.00089323310964,1.02024729568877,1.00944392151538,1.00500952947816,1.01479742185013,1.01088095062342,1.01449256309454,0.998405865448733,0.99333953445564,0.987145413115118,0.989497920448209,1.00705320349759,0.997963635111132,0.997683886492802
700,1.04648681640044,1.02998575630819,1.01444502312299,1.01046700371305,1.00046657915584,0.993300648104511,0.996343977185953,1.07431250551047,1.00245131714572,1.00149463445184,1.00513630962206,0.99556465477337,1.00076679967749,1.00167370431321,0.992558295734867,0.991436825950673,1.00152170583654,1.0021292690796,0.995675440199853,1.00654856482349,0.99827819065123,0.992149409207811,0.997698989213471,1.00787277987817,0.998136745355212,1.00836909471007,1.00243257688479,0.995792734802266,1.00019191088427,0.998804952608942,0.994864597202438,0.992764530336292,0.994117760361229,1.00171129803386,0.998396740716037,1.00752676665363,1.00026140125725,0.998202002033215,0.995604502950866,0.996346683710202,0.994224654194957,1.00331549231454,1.00023110747798,1.00204993728456,0.996119177123656,0.996789229892056,0.993865674827783,0.99864497936574,0.993595296254997,0.99595129597105,0.994020058582015,1.00166872798854,0.99481870296599,1.00091523741128,0.99967384121143,0.998736042456693,0.996590858290953,1.00288389662788,0.999831736601662,0.994820234002949
890,1.01171957432836,1.00640548964837,1.0031412314273,1.02459352096444,1.00099133917325,1.00087416474585,0.998471169671761,1.02654228404204,0.995978130046113,1.00548569264708,1.00927565499078,1.00302661314392,1.0039285885861,1.00637269351455,0.998916268234651,0.997969426741908,1.00585283515414,1.00994249827171,1.00376271796139,1.00893781999069,1.00393393640201,0.997816714395754,1.00250020058381,1.00908153047102,1.00314555469265,1.00948939908698,1.00614014845497,1.00488435842463,1.00511711840182,1.00572710999844,1.00141247477591,0.998430583389729,0.998623054398266,1.00562340042521,1.00253325534057,1.00829973355355,1.00211218102797,1.00361511554623,1.00486887299119,1.003404571794,0.99870713959209,1.00615631894404,1.00600635786706,1.00588157464845,1.00114674929013,1.00521391753774,1.00085796504302,1.00349973947775,1.00010333758332,1.00118017841462,0.999512296151006,1.00529016323896,0.999472591593285,1.00512520774395,1.00776397646108,1.00707622138983,1.00536916730304,1.00701444025063,1.00521508996182,1.00300420925595
1080,1.0045798232121,1.01094176597244,1.00258420262161,1.00820691497524,1.0063997458762,1.01642868129134,0.99897840206824,1.02285345868267,0.997803216754417,1.00805174487257,1.00393126311467,1.0125288723359,1.00787086194937,1.00471778461222,1.0046136686699,1.00488304077056,1.00650092546619,0.999230018909851,1.00423127712664,1.00424814289805,1.00496866567,1.00795170997384,1.00689752472037,0.997870780724611,1.00979580095282,1.00615048319482,1.00623394821381,1.00488411822753,1.00423395212648,1.00024619824441,1.00655773759317,1.00782052936884,1.00927000789402,0.997825294131827,1.00523979186502,1.00596049293048,1.0089018215847,1.00561256887979,1.00040033421223,1.00424847631671,1.00710634917395,1.00549764342037,1.00461048569242,1.0067956421448,1.01043214002923,1.00314863315107,1.00538048781714,1.01076437898751,1.00774911246616,1.00614529499665,1.00816348410067,1.0083871168259,1.00813908269548,1.00583970186586,1.00404590187405,1.00125692930075,1.00333902460709,1.00681963247198,1.00499246402805,1.00558825423124
1270,1.00892941591262,0.999333425494106,1.00918939738554,1.00121555966378,1.00759030081771,1.02094451929478,0.997612894550277,1.01709831199277,1.00063747232495,1.00211356352144,0.999574216600682,1.00912733868509,1.00271342454028,1.00021687069691,1.00218937247867,1.00480038545491,1.00055273882083,0.996317402994499,0.999161521330054,0.999231527692361,0.999377570181144,1.00573558794787,1.00294283130832,0.995859436965375,1.00321357855941,1.00078338111701,1.00013645357909,0.998969084676632,0.999658121677584,0.997790957218403,1.00212753830166,1.0054280561843,1.00673411343852,0.997313053659621,1.00335676919696,0.999941078782638,1.00438445556377,1.00187935142525,1.004550522903,0.999138997780623,1.00387923775586,1.00055990821805,0.998657841823836,1.00133709737381,1.00555330989239,0.998164733608249,1.00142224675539,1.00584560518598,1.00375739083341,1.0026081049378,1.00432599229824,1.00365153543637,1.00515166281217,1.00004220523035,0.997248843292677,0.997762226667374,0.997900241972602,1.00073727424775,0.998877513509435,0.999612288031562
1460,1.00959138159732,0.996750453708407,1.00688979365433,0.998929880642086,1.00380299453501,1.01245473631057,0.996349416960436,1.01682597767383,1.00107132058503,1.00451875761921,0.999573905848036,1.0058366514161,1.0042906583606,1.00147824935431,1.00154862423884,1.00247631025767,1.00263209152833,0.997034884281856,1.00072067019179,0.999765560899502,1.00158694620324,1.00452558853464,1.00377125499146,0.996900565391905,1.0058439485089,1.000976035769,1.0021540151784,1.00104679822227,1.00120036769302,0.998139478179619,1.00319219100588,1.00479520548057,1.0063049704314,0.997152198030846,1.00277567860428,1.00125932695518,1.00492811419704,1.00243272285182,1.00535109845668,1.00078208017236,1.00333727884349,1.00185955037763,1.00116097538655,1.00239518574302,1.00695584411057,0.999966406127125,1.00198637151822,1.00753797945804,1.00473625262051,1.00336361341618,1.00495593698497,1.00413298641595,1.00506727149142,1.00221541427741,1.00002977534852,0.998527352681604,0.999860837616605,1.00290546310509,1.00136994807692,1.00152905027367
1650,1.00395214463962,0.998944592782317,1.00187411984242,1.00453629759828,1.00203140718347,1.01242110322522,1.00287964550158,1.00305326928937,0.997734278793202,0.999817241459345,0.997937865827331,1.00449195915282,0.999622288274316,0.999620822385155,1.00201404097583,1.00241341175684,0.999504163116561,1.00384919997483,1.00245077542277,1.00105803221484,1.0006628990138,1.00433411139634,1.00075081635844,1.00256378768101,1.00371389627977,0.999690277529174,0.99968732069638,1.00239965873469,1.00040700493417,1.0031256250538,1.00146702825468,1.00275524299274,1.00427142813698,1.00296366254671,1.00080334940277,0.999063505858257,0.999938519816025,1.00081690819307,1.00026094380193,1.00244496549506,1.00408001730469,0.999946394235823,1.0004054709993,0.999131294650488,1.00435482593005,1.0028343997056,1.00278115202568,1.00415786002794,1.0024967563285,1.00092520802552,1.00281130964303,0.999801433488286,1.00203598593184,0.999790976468985,1.00304344195101,1.00408549002082,1.00262601237965,0.999019032587127,0.999736469580329,1.0024386775618
1840,1.00268402953184,1.00158844912363,1.00750513043251,1.00322521399775,1.00697994121691,1.00927855215728,0.999825775283343,1.00097106691604,1.00219982545604,1.00365342774903,1.0034314607862,1.00876199749906,1.00370219099311,1.00415842423836,1.00740607027913,1.00724000951594,1.0036409286596,1.00602924759007,1.00800506023235,1.00315287384326,1.00599503923948,1.00864600199296,1.00521872632062,1.00649241873079,1.0079164764451,1.00116826300386,1.00415146388346,1.00806062922224,1.00518373034126,1.0061319135527,1.00672434458352,1.00695013134731,1.00827207641469,1.00551070971199,1.00549204441985,1.00136260347127,1.00299907883789,1.00575881375314,1.0052059109947,1.00817917853168,1.00899178231124,1.00387322012878,1.00525751766173,1.00231776216859,1.00827288509466,1.00787484239353,1.00840473376834,1.00729154218491,1.00756986699326,1.00602166535167,1.00730466081877,1.00204462051394,1.00611635922325,1.00438509868521,1.00841959838498,1.00717248012394,1.00782740530026,1.00254174689799,1.00459937524068,1.00827620975781
2030,1.00280260508877,1.00851556899688,1.0087807462082,1.00344220042629,1.00811910407732,1.00941393287022,1.00764991626288,1.00611407481915,1.00528173991299,1.0008778587659,1.00168870643374,1.00552085151002,1.00214265049399,1.00220050074741,1.007309443486,1.00736707300138,1.00211296931388,1.00924056967422,1.00861189653522,1.0037872547698,1.00442710375172,1.00755033360924,1.00291773442957,1.0086968587885,1.00385664855012,1.00136259085236,1.00335512943499,1.00849724282401,1.00499620213615,1.00938142429219,1.00498171891817,1.00495445789348,1.0050981174007,1.00971501828455,1.00507333182352,1.00118484876017,1.00217931178227,1.00528102194207,1.00418435654672,1.00802882834799,1.00743361309771,1.00357726811209,1.00472722420657,1.001249118023,1.00430624158106,1.00917644639276,1.00793980781908,1.00292146698781,1.00569191551451,1.00434010260408,1.0048158054179,1.00153891244498,1.00358577366527,1.00283596151991,1.00849865648735,1.01023040752488,1.00904757525629,1.00041750684026,1.00297372101959,1.00788881339793
2220,1.00271865386506,1.00696871599959,1.00570183243799,1.00677138296759,1.00335858099799,1.00739179020812,1.00374520749028,1.00606434180822,1.00800041949461,1.00345167224702,1.00657369679788,1.0069545306743,1.00560072412212,1.0045704033662,1.00765888171198,1.00786116982828,1.00562844133763,1.009953883849,1.00919990273973,1.00380453875761,1.00685177460025,1.00818586884123,1.00496388708537,1.01010022066191,1.00499322992343,1.002134778041,1.00593678903868,1.00965008492263,1.00658097758678,1.00810425553827,1.00708383666634,1.00663696381447,1.00526914557393,1.00849791013701,1.00617943370928,1.00336939890894,1.00520285710898,1.00701334933058,1.00135706755432,1.00896956142912,1.00703153114108,1.00514757302186,1.00696081922133,1.00430706579732,1.00500062957469,1.00936644805527,1.00872842914087,1.00332212232655,1.00807313287199,1.00679280881936,1.00616470235638,1.00357762472209,1.00537513298135,1.00598410109234,1.00999507405318,1.009147613663,1.00938298133425,1.00332469445689,1.00589751958473,1.00918106662502
