"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
265184.589510734,2898.01179609098,1033.52434772828,-2739.97161008476,3888.93664460475,-30.0556611877089,-5607.37713903135,566.519330937938,750000.622594808,-342358.829995358,-107003.243504518,-18176.4246587451,-219080.533311816,-62048.9330997194,400783.309616679,490549.867429366,-92237.0142015634,123507.697057973,429352.172886215,132300.719914405,106863.304541496,369287.082932546,-75150.2419512911,35548.8795570902,-98291.8960279321,-28082.0388980621,104406.014630046,367790.968837477,214456.831423064,283807.005950066,206200.067033143,175267.976408791,-10278.4481386745,172372.972565203,398637.56197786,-126498.403412986,-429790.484300534,286686.555202575,78498.6915687015,234202.204154896,242834.161750064,160531.87274974,114232.716038049,-128090.467210151,-90363.1930230999,329554.298796939,288871.90180328,-244039.033770355,295229.574065516,151840.251367925,99169.8857860435,-619487.451910517,-45395.0576725933,6838.06196230697,208400.720426299,349043.157934908,391886.631020085,-342989.127675051,19488.9382828106,380881.369534247
415167.09446113,-538.979282661326,1016.95845784193,-1659.59822224591,4074.13607884981,178.133873747531,-2172.34281737769,590.943144320113,356575.070073011,46916.5108560307,420599.868134096,595816.135423939,320957.14065069,138165.470489114,493745.674475985,578977.635382803,256724.373835821,242257.825580873,576648.857453698,437498.746474254,351247.754061277,487820.705022309,195943.819985128,107241.239276881,134491.266972375,277500.615861232,479684.317121533,509020.094818115,438633.531275139,363284.949779839,465444.340608713,419274.78794646,229980.244475589,225819.187127043,651173.763488753,244807.524666422,284346.895164532,512883.652349594,398093.113003523,339645.312905813,336700.20267478,509538.923149456,335746.253287821,180573.126561824,148091.937329214,445110.137046288,382843.804093949,10214.9688450785,585610.193955271,410922.244501216,346695.97908244,28942.3864105014,321289.436300935,376083.582212721,371128.465036129,494724.221438006,546232.64471894,58345.2740988653,268218.361357747,528039.414902604
38086.1106399003,433.046838169787,-1158.41051240375,-517.194969273383,0.124752801477922,448.931416454632,4574.63187964395,475.938470317022,283559.839831062,357852.45602365,-106626.55958796,13140.7752883521,514686.980767262,137012.419719023,-24416.1076659208,-9257.42357862579,288778.546097071,-83846.1863953897,-52630.980955949,195198.517297947,126503.224759175,2957.58806979304,222516.074439972,-58636.3785433621,116037.028037361,284688.253775478,283555.413529986,-49007.3211400328,119754.067495425,-73163.6374171038,136592.716955396,189415.112981218,178447.451548672,-61563.7072090489,170187.260003967,353964.920349858,776162.759265295,138316.09715244,47057.2753700591,-43128.3843336098,-25255.8314059375,259468.511712074,116869.489370919,291400.064673145,152376.679226366,-54335.0087094526,-23633.8620008062,174975.920355839,165112.530339706,189067.931131341,158153.57984226,688658.834978706,324356.801531788,279664.50747034,-68691.476389179,-93599.7540969962,-66358.0022016678,361639.714892854,163878.488039231,-44143.0703820836
735633.927077672,2687.44503347163,7170.66208009569,-3041.25950150593,-1926.84808056742,1696.8356040788,2208.74477946944,582.899787840244,36908.0681307958,213814.838144438,-277346.050061311,-129544.687423428,247912.025227225,201658.595005152,-52041.5405733858,-13101.7357953108,97077.8319482381,-243239.134868938,-225340.303177625,-182363.527462648,2668.38205436904,101706.397574774,193713.033946835,-84411.7235671865,92583.8475335564,13833.2123621808,-129092.962051815,-240707.192746779,-58571.8199197125,-179332.624614125,118277.519886671,189679.665934773,214366.549058949,-69028.3546874898,-78678.1325507153,34026.7904229574,330181.501811224,-88885.2429327328,14189.685438304,-35169.6761244206,146933.000498373,-132452.348312966,-63230.728217409,104191.006717953,159462.170563207,-249623.008063628,-71213.2878900502,178523.855649408,8580.20420607676,70956.5479050958,109795.2230257,422570.90969715,266695.194474631,-42604.5025414,-223316.025295939,-348693.991909095,-293729.822447635,199345.926930525,-4235.52718549485,-207752.332089113
549973.863965187,-38.3097000866441,4328.40820577729,-2713.99434833227,3176.01972603012,2720.92467933594,-3308.76032666548,588.549471919073,394461.468711819,188342.294021874,618530.016612757,927512.263790319,440566.117843275,237316.360815551,686754.338614783,778123.7579031,351616.408356051,152819.71860057,629147.45042263,274690.827092339,456782.727270906,836821.448348347,359507.321367793,114208.285861456,383115.705820296,193851.249929865,482539.813381733,600578.406987673,465301.913301192,304785.600206846,747178.831787739,756680.676083239,510740.191528152,201801.231049141,698636.676778983,142647.715217944,446807.697057983,574483.336545818,338177.856181465,440912.144605499,601083.18761389,405740.49291431,342406.739931947,224064.433509188,452860.165776593,426876.492549678,525597.773012646,312055.464851163,902419.539098076,602490.912435593,666763.661390832,202119.500764976,635315.545754136,431112.267202794,419536.850346588,358494.608478663,558819.726189517,174454.273282586,353221.315031689,669411.57150798
49480.5661959851,665.083048421857,-643.724747277878,-2617.94876926059,2385.81654660872,-2556.53648431182,1955.45707845832,482.476327175352,-70746.5070747679,-140014.275454081,80143.1777747812,346051.763425619,26247.5412462259,-62357.55830957,-106233.799404188,-54066.3585787398,5200.83529612052,-61259.3565264562,-60884.7094010722,279479.138305756,-94823.4150922812,-289948.99181836,-119576.927539891,-116411.27604374,-356289.404124279,260444.799759859,137299.849297725,-103544.177458594,77109.7027194328,67677.8436533501,-149688.42802137,-197730.943018635,-292895.560506018,21291.8301813362,180434.3862624,204288.473943126,89663.4100210617,81281.155894616,219681.331307533,-144561.288352244,-240317.96588746,213488.600491649,14787.2673513989,61474.270178917,-335261.710460819,-19127.6849342295,-123508.956070578,-353052.259430403,-217044.115321994,-60722.9949118735,-276008.613421654,-16246.3836990915,-162537.792759463,1988.45955966666,-218089.27685825,64738.0645153572,-51334.0899758357,-98854.783502211,-56036.9864885087,-159185.519003863
30830.9702935886,3113.92943825238,4102.55081275752,2386.21052145656,-4044.56285264688,-4783.57046473116,-1819.56826673639,442.027071353316,-321596.155598212,-666221.629900983,-542013.943500031,-676619.825587597,-1202357.91672205,-336312.458391957,-721236.87738838,-870857.263458648,-727821.434156994,-10692.5668752607,-690617.725419722,-436824.337989506,-651072.104822353,-1003908.86789136,-656321.652480571,12866.7855372121,-654554.792231063,-471097.032286287,-917389.559189447,-637570.599793644,-627138.755862082,-160552.360818575,-989708.983049104,-1117296.47125437,-896302.321524682,-38937.1919024063,-995486.678784608,-569774.356784109,-1576915.53853675,-801534.170435581,-1110811.28702568,-442288.084680031,-645397.58594902,-810929.887872388,-518627.525691541,-586137.152663806,-760676.729700525,-436105.164154276,-587827.60051973,-562645.623306102,-1343369.91900488,-924751.965164179,-1022476.60130904,-1050957.146437,-1132603.11679045,-884878.257261377,-449008.782669034,-221540.454209803,-547965.536740642,-598858.29645408,-580191.505056555,-761798.065123824
18524.9213853331,-617.147352980722,-219.649439807786,2603.02753672972,3729.81750644503,2748.06017684515,-4419.08261830824,416.485423000558,242570.389587361,394614.398239786,958840.996442972,801854.122229743,662154.455576281,338824.772527184,904506.010994639,945522.6174786,524873.553906965,599201.390612868,1078111.45603678,539649.86350244,759303.211816853,1080861.74093201,509701.864769624,363603.973241121,729618.304499513,257220.052019343,790820.191993698,1040125.12809048,704079.246937833,571348.822429678,983670.45462687,917304.316092262,724486.2095705,346292.371481526,877972.986949632,300175.508350867,572809.69066722,801340.0160169,42872.6008227199,746191.839043435,794377.981263191,711012.031248928,613977.656193503,311626.335983158,700680.854209949,827936.404653125,773062.571811435,528716.207708435,1258862.98035585,787922.250293018,933177.727628058,276703.669811544,759741.357768349,744485.348638865,981699.548099472,857867.34432978,1049783.10424516,360906.840889741,598384.344840954,1117463.50077555
183463.12022908,1090.8034484748,-1091.96160357588,-1728.31203825203,2850.42288869044,-1224.481020872,-1503.15463504359,545.929096064037,-43561.506901701,-197548.916521878,146139.8129233,57832.7703163405,-50773.2353531336,-53304.0710299208,119197.650464674,186592.430585937,-16329.9232105702,66027.9356630716,190167.879298375,210456.424022321,26790.6632857904,37109.1248265522,-81560.501868162,-24977.8776436673,-186607.701003118,114219.491186,145389.219310382,148776.106451638,140003.342561413,164955.588319278,29855.6130403403,-21988.8745654179,-140731.834102447,83483.6867752396,262930.452195954,55900.1580754919,-119061.71486276,181123.692626848,120675.98084388,50740.6936787959,-9955.35875916135,195019.371862566,76317.6554903405,-25347.5883963383,-174057.159009509,163997.203638426,76071.2279705973,-249109.797539294,63455.1770563111,40693.2979171314,-74895.1303909537,-270411.175379351,-98134.777784175,22759.3898396976,32195.3074860641,228277.02086814,190732.945039619,-180154.739246802,-6252.32478893368,123053.760492409
839128.786575369,1571.34307292721,-1505.94723792065,2577.24952854584,-217.058721167839,-1515.11385200318,554.07160397975,611.927457269732,-77169.4289043292,19642.6343609593,74106.8894118381,136049.161735389,-18241.6746323659,-3020.84144836189,-81530.4208688124,-136349.031823871,3182.52462731885,184781.843764702,30756.8486137928,135213.033470702,3708.89124117552,-166781.917175747,-54247.7118668711,83223.5087826868,-23483.1827771571,52035.4723630088,64520.416913181,54382.0879790805,28991.2922054279,93567.163911895,-72637.7548634746,-167690.654272654,-135443.115932709,39103.6791515841,-69418.3218178212,60788.4714843339,-84993.7380396444,-21973.8233964034,204.552477249577,-7608.02163291437,-108563.972508158,52592.4633822705,50655.7417494016,-11723.7083772327,-58623.4787952324,70234.0624074697,-43704.791898939,-17861.5225925469,-120449.977883797,-79456.2114476595,-105730.163781829,-18736.6328097126,-155023.37243233,5763.51518709577,96513.393890844,181150.738195872,97832.1185231277,37038.2042025162,27570.5806757534,10289.7602964676
