"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
277240.106760811,-1603.02361529522,1494.96340332585,-1635.50292603484,3710.00190926117,380.386478546498,-568.535745503899,542.779079241094,379894.717293496,198235.074343618,538114.10730229,309349.526302855,484229.667639159,205066.459333746,479659.447905893,561028.172949907,354246.404959455,226422.031060547,546233.34655314,489728.261924573,399228.012275543,493318.629927467,295984.494439756,111223.575720764,205146.183603285,371499.567386902,562903.083967652,490734.570001928,474881.504136007,335645.251529772,515100.631069908,489864.023185159,303266.23393847,214387.64115658,683981.935502491,362280.561564028,539916.520757313,549865.714596088,375236.494714405,336007.683780589,338991.555802957,577363.872393577,373146.967913034,289030.502484611,218791.93555863,421793.673586971,373718.864638836,106475.795003247,625492.113143455,473405.129310751,414554.612136866,286935.734886378,445079.732179427,469870.98898353,359580.846437603,460778.19829666,514784.291355817,207877.485673861,335077.880448638,524006.90515588
100992.966796379,-1169.49088645754,-6296.06907657593,-2174.96912040911,-1640.76548958662,-1821.07430031589,-166.96270521409,501.041796189614,-677918.947766472,-707719.494640063,-658786.268026234,-591659.905422711,-871979.982172585,-467219.711546716,-732049.150907765,-703107.875226002,-655229.785436257,-511460.728418984,-805372.072622917,-613553.175545917,-734638.11893243,-813003.186854495,-608919.314750982,-383982.548607722,-810774.247286056,-456171.755505653,-761115.69194242,-782910.879889074,-699652.472383645,-509181.472282806,-932982.710928456,-859200.027180952,-733184.886924593,-358365.871808741,-794060.734785986,-543377.144163988,-940619.929421729,-680563.029591705,-630303.246477175,-616057.755610799,-701446.078253378,-765671.784441549,-630647.831239727,-518850.177820753,-677543.858781823,-651495.155784412,-596536.631619052,-602876.048063229,-1030157.24338913,-768820.639234,-842802.193913882,-835837.119702884,-900195.945202966,-794753.556375052,-799446.986094674,-681929.269319901,-798665.237961245,-658558.729451693,-664995.430746711,-870769.54073844
54175.9191523006,-2744.5687098184,-1327.88167949118,-6228.43858682171,-3718.01731034806,915.009956846571,-1910.03048502183,474.327094182112,-843116.645843599,-848236.722410091,-718408.5183563,-1221171.36730153,-1218950.85281309,-595932.316108674,-804033.679119898,-760105.08924215,-948094.971107599,-1010660.77930986,-1198694.39681043,-1248687.84612759,-1003504.16256904,-769386.724545013,-737261.946911437,-578069.476465295,-810022.97219013,-848610.418476904,-1316624.88138374,-1152558.97828896,-1025893.97772905,-853002.035567063,-1070383.01942831,-837057.38304875,-653533.706869836,-546132.474271048,-1086802.35542462,-936916.95677366,-1280541.98348565,-1020889.38384697,-1372130.39425022,-787486.867223694,-632898.644511695,-1237366.81556184,-928807.018326996,-714191.647087207,-715996.705137221,-1014215.61696554,-719358.170712608,-668740.738328115,-1188022.23812267,-916213.101362469,-900327.723317244,-1080874.53677417,-888089.579159562,-1173969.35931115,-1194434.65444913,-1310634.47666247,-1289777.45929772,-904998.21749348,-917536.716757128,-1137159.9757409
587584.212532251,2316.16040274227,-3196.94131976191,6747.99612957805,1262.47300906281,446.422297443987,1443.07252133297,607.23418919418,703085.301490224,681437.427627888,878725.068748089,687127.346037903,865824.774960656,376486.260314837,493500.353890149,410286.971908676,638297.717336276,690241.929773674,773131.168522238,681892.805433596,668683.459810687,532553.301103014,495941.851982375,386831.027214473,715423.260940601,447012.734253529,847884.780437976,789525.073235484,615002.116494678,487445.683944695,737003.06211818,588402.167790884,528326.845189757,255388.190511378,591382.992455248,553725.563154331,905558.473321562,597780.414384675,546588.141453425,528414.414510022,435433.297335605,758817.760140324,601796.084142339,462125.860029646,630952.051776442,671605.554756387,469492.64802086,596817.568909747,891132.322041991,602421.896949543,686644.448573033,799319.331931461,627724.864733573,786804.287582702,879730.414559857,810102.979995841,858961.069773816,692237.01309881,628849.022212209,792919.006796089
78982.0292904936,4321.63038450186,-2622.84590668882,1801.49635146275,2403.99859563029,-2213.28918458495,-218.558167892567,496.319116640223,249821.507089503,-13118.9784134458,82881.1193004089,-89949.0246011811,120014.916384355,20916.0653210756,77949.7320313012,101725.260679594,121640.842156028,306007.093086589,306364.714012592,433066.484650058,144402.765721882,-27732.1180180227,-20221.4844613905,102242.54194707,-41226.3466985464,232554.329231277,313434.730254946,286260.08769816,237210.20582939,285141.604448599,88721.1256289371,-43132.3510960426,-143254.272755709,152418.357295122,284929.4878574,215147.750456771,39161.4369844029,240955.450253254,406667.256223476,125069.928226517,-50667.5025364413,348333.462965848,211567.079209384,75549.0443322059,-103728.968662883,303633.778238468,86966.0020747781,-108027.271360635,102543.984441888,58319.4814495602,-48951.0294708168,-51471.0191399663,-87794.441495276,150407.489229099,255377.163984569,481684.291420737,374076.152462394,6865.60483511254,118185.836234002,239268.438190988
65939.4026837725,782.348384512521,3250.80577268886,5001.74008117747,3018.55927081076,-649.014257222037,-1511.61068485413,480.9013300636,701504.552460458,490401.326148427,892692.876815867,748788.87912942,725534.448981513,470506.788176067,719690.760481994,691194.639790175,637127.526437724,881985.827942795,1032820.03127303,877980.521462012,766310.184873451,698589.631667267,499483.076403789,509388.774474048,613343.557822433,515496.345316218,899647.903628378,995453.03920298,799972.763650196,761857.477524418,842906.443007221,645821.68919758,498051.29303251,531462.661449488,816810.879234054,538323.538080155,598386.0098861,782885.144071484,635372.933704577,720930.219299712,596083.045645025,862121.038508425,714239.272887365,442452.111647516,535640.532381795,889848.8392697,650007.626667593,476195.541690444,948400.774400416,695722.169769822,689356.973344716,477813.586903249,612397.830324649,849144.58267791,1064054.09466095,1146324.66472894,1132979.17657392,538938.351016237,656761.876083504,984717.223959221
52897.1723455293,1589.92874807064,2733.98729950618,71.4981071695784,7105.10563270362,1502.3319779854,2533.84112478014,489.586488288374,1182047.78412509,987419.550103961,1246927.21924812,1246896.07013441,1724415.04518144,724679.963876679,1205587.66788679,1339499.88800221,1235405.88704434,761945.506831171,1434406.31010431,1449456.1406427,1265617.71865084,1269778.66095362,1037293.64505404,445647.837610907,912321.098787547,1120199.2999739,1684221.72839478,1308948.88647871,1312157.33619795,888821.86951493,1509088.79224885,1414604.00612703,1048226.16819494,594791.000619995,1735471.79374318,1214546.11751103,2033262.18959013,1453638.86410224,1433698.75630011,929091.376191067,946844.599949008,1656925.97516835,1094627.03696821,1002312.26350291,904682.568480421,1111476.88829316,976493.681107589,726889.919859639,1766943.13593404,1355355.86865969,1343952.5071084,1479025.51089695,1466577.22063019,1550742.97421188,1166589.61184974,1259010.56997455,1376720.85373537,1015760.69648352,1101496.1395433,1384452.34287123
44595.4931198915,2097.21480791702,-2044.05923266581,-1912.92831816221,779.338860903491,-791.447413964961,-4937.46999147097,463.821308572817,-367655.046145588,-645765.329242883,-805087.255491048,-361590.273898027,-773361.558831385,-335061.997624672,-158686.453973874,-113182.447576959,-518414.859488784,-172771.449399185,-188585.737561949,-377542.553260833,-367621.886693489,-202290.1491657,-449202.414848511,-151531.607363627,-443008.310862869,-401193.145899511,-492883.219171729,-191670.83722673,-302254.423984178,-100135.73653312,-419870.412835351,-421070.363545151,-433938.548519972,-90218.3369853427,-330961.21133428,-505063.587531069,-1026446.32079175,-284722.265563669,214707.099442689,-160183.798781922,-196468.3378378,-439025.76655726,-310998.572922783,-461999.513313064,-435749.330001383,-140244.84587886,-136704.808073423,-471883.19229658,-431451.087244918,-383466.570484808,-421017.001893894,-1024213.89997217,-598249.658203727,-547066.249213764,-262696.155281018,-152112.536205448,-187979.487288095,-648035.262460762,-394332.3298744,-207627.007687536
80473.5045653302,-5061.26665897894,471.401703154661,-676.164985713083,-631.232114693235,-2011.48156932942,2572.97577841354,503.571421611155,-396688.20171439,-86984.68860503,-315955.226745604,-136310.848218084,-124518.974367375,-72492.3440499774,-304783.624815177,-324290.896379234,-96284.867776997,-116020.164300778,-310789.017812401,8845.24700713585,-206997.635725519,-436462.713090756,-147914.673400404,-89951.7035232949,-284920.668695352,63119.303398372,-133725.775780952,-312846.83628716,-143833.204618005,-102978.736146681,-314784.246013781,-337621.724510217,-292959.787944833,-59401.7623538612,-194102.359585959,44543.8219519107,-72477.7058571722,-192400.125473994,-222016.631884948,-243091.22671287,-311662.538737963,-91231.6088202571,-130174.810053934,-25463.763367907,-284583.499167344,-218573.478124769,-261552.770845268,-216554.033917108,-442719.979545871,-236044.985307565,-348663.023610239,17851.5482972228,-252403.126425171,-159807.027522933,-293124.471075926,-154770.244469528,-280993.245095173,-54391.3697133601,-143660.654515917,-362777.532836302
374589.932786458,-3101.47798892179,1452.38864163906,919.052163785766,2313.65666730622,-1515.74837402959,3110.54751545462,577.868303230228,72106.0657921871,368825.726071031,694222.876299127,640430.776872793,623301.414512862,263549.369821946,242450.228881335,253416.986651909,457403.115436116,338250.741986451,403178.008391679,667196.11340342,378116.312174763,149600.228812662,304587.513940961,170861.001250765,182634.163300371,535985.325202126,632032.226436269,362012.35435116,466242.549806955,344398.224903107,379301.004451029,276336.881453803,170858.908312697,221657.339467853,544078.74521963,562181.767765662,744813.804063067,454881.617355028,375011.522416134,226452.263562934,129837.591035087,642121.66475237,396730.633108025,400914.806624194,159296.629138583,356140.702135202,208322.214366899,145716.382024814,377282.162190902,372555.806707468,257510.475495029,629178.609943772,370272.508150072,530683.004013848,332255.848000858,508593.420729142,439588.630843772,421935.599375524,378289.400108024,342406.153588028
